评论id,发布时间,⽤户id,⽤户昵称,ip属地,纬度,经度,点赞数,回复数,评论内容
4.77E+15,Wed May 11 17:26:52 +0800 2022,1104728423,影茉莉_,江苏,32.06677694,118.7695516,27,0,无论怎样，哥哥都带你回家。                    妹妹，儿子来接你了
4.77E+15,Wed May 11 18:18:28 +0800 2022,6147045243,慕容如雪月如钩,上海,31.23592904,121.4805389,5,6,不会网约车？我们小区的人去上班都可以打网约车的啊。自己不会的话可以让其他人帮忙的吧。疫情期间，哪个出租车会满大街跑？那不是亏死了吗？
4.77E+15,Wed May 11 18:14:31 +0800 2022,1804317803,卷心菜嚯,江苏,32.06677694,118.7695516,1,0, 
4.77E+15,Wed May 11 17:44:07 +0800 2022,2045534983,大志喵,江苏,32.06677694,118.7695516,3,25,老夫妻了，还哥哥、妹妹的，不觉得异怪吗
4.77E+15,Wed May 11 17:25:30 +0800 2022,3581606101,Nosignallll,江苏,32.06677694,118.7695516,7,0,我们回家
4.77E+15,Wed May 11 17:25:05 +0800 2022,3570646954,Kitty是凯蒂呀,江苏,32.06677694,118.7695516,4,0,
4.77E+15,Wed May 11 19:51:42 +0800 2022,7279866549,海淀区费雯丽,北京,39.91092455,116.4133837,3,0,好男人！好人一生平安！
4.77E+15,Wed May 11 22:17:52 +0800 2022,6546512204,湾湾吃火锅,湖北,30.55160006,114.3484407,1,0,我看着这个新闻泪流满面，为什么啊？为什么啊？？？
4.77E+15,Wed May 11 21:34:46 +0800 2022,7009901418,黑猫白手套coco,上海,31.23592904,121.4805389,4,1,父亲去世时，就木木的忙着，眼泪流的也不多。一切平静后，生活也回归正常。直到有一天在小区里散步，走着走着突然就感到痛彻心扉，霎那间泪流满面，那一天独自一人在花园里哭了很久很久
4.77E+15,Wed May 11 20:57:05 +0800 2022,1994804011,竹苒苒丶,上海,31.23592904,121.4805389,8,0,大家都觉得老人步行那么久好可怜，好心疼，但其实他能回去已经是比更多人幸运了。现在高铁站和机场滞留了多少人回都回不去呢，太令人失望
4.77E+15,Wed May 11 20:50:27 +0800 2022,3625077250,Hiram_O,广东,23.13794856,113.2724289,3,0,人世间
4.77E+15,Wed May 11 19:02:16 +0800 2022,6117963876,怼怼需要静静,江苏,32.06677694,118.7695516,3,0,希望老人余生平安健康
4.77E+15,Wed May 11 18:45:38 +0800 2022,6515539096,轻挽6424,上海,31.23592904,121.4805389,0,0,世间真的有好多温柔的一刻
4.77E+15,Wed May 11 18:41:21 +0800 2022,5523889130,我的孤本guben,江苏,32.06677694,118.7695516,0,0,🙏🙏🙏
4.77E+15,Wed May 11 18:13:45 +0800 2022,1589702655,魔羯座的魔法蛇皮袋,上海,31.23592904,121.4805389,13,1,逃离上海 是每个人的愿望
4.77E+15,Wed May 11 17:32:29 +0800 2022,1458204293,moyueshu,江苏,32.06677694,118.7695516,0,0,无语
4.77E+15,Wed May 11 17:26:47 +0800 2022,1903951291,尼克安闲,江苏,32.06677694,118.7695516,3,0,车应该都停了//@做一只自律的小狗:为什么打不到车，没人管吗
4.77E+15,Wed May 11 17:26:27 +0800 2022,2202423573,小_zhuzi,江苏,32.06677694,118.7695516,4,0,泪目
4.77E+15,Wed May 11 20:00:44 +0800 2022,1773569692,睡不醒的喵小花,浙江,30.27154839,120.1595331,2,0,借一寸三九天里 冽冽暖阳 融这茫茫人间刺骨凉
4.77E+15,Wed May 11 22:24:25 +0800 2022,5947113033,喜欢喝奶茶的zy,江苏,32.06677694,118.7695516,0,0,我也是常州的，看着好难过
4.77E+15,Wed May 11 22:19:20 +0800 2022,5022475618,mimachi2u,重庆,29.56899625,106.5584342,0,0,@ty2still
4.77E+15,Wed May 11 22:00:47 +0800 2022,5979681233,最高荣誉英雄,辽宁,30.29581472,121.319335,0,0,完蛋了上海
4.77E+15,Wed May 11 21:59:46 +0800 2022,6854783985,庄青森,山西,37.87982942,112.5693755,0,0,落叶总要归根
4.77E+15,Wed May 11 21:46:29 +0800 2022,5657621276,9797小朋友,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 21:25:39 +0800 2022,5110739046,费叔叔的懒羊羊,上海,31.23592904,121.4805389,0,0,带着救命的希望来到上海，赶上了上海疫情，最后也不得看全自己至亲，大概每个人心里都有点小创伤，为这个一直引以为豪的城市，愿早点结束，不要徒增疾苦
4.77E+15,Wed May 11 21:18:00 +0800 2022,7411477086,朱大白同学,江苏,32.06677694,118.7695516,0,0,唉。
4.77E+15,Wed May 11 21:16:01 +0800 2022,3437344634,Happyeveryday赛玉,上海,31.23592904,121.4805389,0,1,目前只有医院附近有出租车可以先走到医院坐出租。
4.77E+15,Wed May 11 20:30:42 +0800 2022,7598842805,Mr_Sitdownpls,广东,23.13794856,113.2724289,0,0,sad…悲剧人间
4.77E+15,Wed May 11 20:29:46 +0800 2022,6347924508,坐在池底,法国,28.90539633,120.0441588,0,0,🙏
4.77E+15,Wed May 11 20:17:49 +0800 2022,1216274660,若木若愚,天津,39.0911026,117.2080928,0,0,
4.77E+15,Wed May 11 20:15:03 +0800 2022,1686345762,徐海洋,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 19:50:43 +0800 2022,1229671583,铁铁铁铁铁鱼,北京,39.91092455,116.4133837,1,0,君埋泉下泥销骨，我寄人间雪满头。
4.77E+15,Wed May 11 19:44:13 +0800 2022,2952398494,镰刃啊嗯,中国香港,31.45518492,121.347723,0,0,屮这个世界
4.77E+15,Wed May 11 18:54:25 +0800 2022,5312787081,小甜果的Jam,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 18:29:05 +0800 2022,5900039530,111Empty,福建,39.22917591,117.1423023,0,0,🙏
4.77E+15,Wed May 11 17:49:56 +0800 2022,2175920441,吾爱吾锡,江苏,32.06677694,118.7695516,0,0,这就是爱！
4.77E+15,Wed May 11 17:41:47 +0800 2022,3194900680,无事小神猪,江苏,32.06677694,118.7695516,0,0,@香菜胡桃 @每年都是福满多 @随你 好感动
4.77E+15,Wed May 11 17:36:03 +0800 2022,7493753405,小白白白白白吖_,江苏,32.06677694,118.7695516,0,0,真的不知道说什么了
4.77E+15,Wed May 11 17:31:26 +0800 2022,5463736795,大Gou普拉斯,江苏,32.06677694,118.7695516,4,2,3月来，然后4月被管控，这是医院不治还是病人无法治疗？
4.77E+15,Wed May 11 17:28:31 +0800 2022,5091664260,不要椰奶-,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 17:26:23 +0800 2022,5974136817,高贵路人·糖糖廷子,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 17:24:45 +0800 2022,5080190980,梁祺璇,江苏,32.06677694,118.7695516,0,0,@再犯傻就闻臭脚吖
4.77E+15,Wed May 11 17:24:13 +0800 2022,5533070814,pouringlove,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 21:51:31 +0800 2022,1308592045,C崽大战屎可宝,上海,31.23592904,121.4805389,2,0,搞不懂我们小区团T恤团鞋子团锅团海胆 每天大门口车水马龙 却没有车能接接这些人
4.77E+15,Wed May 11 20:45:05 +0800 2022,2696124540,樱陶小理子,江苏,32.06677694,118.7695516,3,2,太难过了。我其实现在挺讨厌上海的（仅针对在疫情期间这个城市的做法，不讨厌任何一个上海老百姓）。这根本不是我心里面国际大都市应该有的水准。让太多人受罪了。
4.77E+15,Wed May 11 19:23:36 +0800 2022,5743995537,这多年自然卷,江苏,32.06677694,118.7695516,3,0,倘若不是亲身体会，怎么知道盛世之下的艰难困苦，会那么那么悲情。我也在和平年代流下对生死无可奈何的的苦泪。现想，老爷子能回到家里再咽下这口气，已经是远超预期了。在这个时候，我们最传统的念头，落叶归根，儿孙陪伴最后一程，这些都成了一种幸运。
4.77E+15,Wed May 11 18:20:02 +0800 2022,6615438093,森奈wsn,江苏,32.06677694,118.7695516,2,0,令人羡慕惋惜的爱情
4.77E+15,Wed May 11 18:12:54 +0800 2022,2271618757,无极坏小驴,内蒙古,40.81774435,111.6722691,2,4,为什么打不到车?
4.77E+15,Wed May 11 18:02:14 +0800 2022,5829038399,周桂香的喵酱酱,江苏,32.06677694,118.7695516,2,0,为什么上海还能坐高铁去别的地方，因为上海疫情严重到医疗不足，有些阳性患者回家乡，家乡可以收容治疗，当然这些费用都是要自己出的，有很多人宁愿回去也不愿饿死在上海吧
4.77E+15,Wed May 11 17:50:06 +0800 2022,5682487871,如山见海,江苏,32.06677694,118.7695516,2,0,江苏人不容易啊，唉
4.77E+15,Wed May 11 17:25:30 +0800 2022,3975732191,谢舒尔,江苏,32.06677694,118.7695516,3,0,泪目了，觉得自己就是矫情中的一员
4.77E+15,Wed May 11 21:43:51 +0800 2022,6005785702,Eileenwell,上海,31.23592904,121.4805389,1,0,觉得很感人浪漫是吗？？难道不应该想想，是什么让一个60岁的人步行7小时？3月份来上海化疗，抱着求生的希望来的吧，5.6日抢救无效，请问这两个月真的得到了良好的救治了吗？？
4.77E+15,Wed May 11 21:41:42 +0800 2022,6166852862,蜜豆哥miki,上海,31.23592904,121.4805389,1,0,没有人性，教条执法，一个那么大年龄的人步行这么久，上海真让人失望
4.77E+15,Wed May 11 21:41:05 +0800 2022,2577600181,____董董,上海,31.23592904,121.4805389,1,0,控评这么严重了么……抱着亲人骨灰走路七小时到虹桥车站很正常，应该的对吗？
4.77E+15,Wed May 11 21:29:37 +0800 2022,6099777849,小吴小声,上海,31.23592904,121.4805389,1,0,太可怜了现在的防疫政策让医疗资源人为的被挤兑！让那些重症得不到应有的救治！
4.77E+15,Wed May 11 21:21:20 +0800 2022,7304547860,ATONG泰山,山东,36.67485665,117.0274416,1,0,厉害我的国啊，厉害我的党，
4.77E+15,Wed May 11 21:20:50 +0800 2022,1734556757,袁启恩律师,广东,23.13794856,113.2724289,1,0,又成了最小的代价
4.77E+15,Wed May 11 21:19:55 +0800 2022,1761643533,肥雪东妈,上海,31.23592904,121.4805389,1,0,看的好难过 为什么我们的大上海会变成这样
4.77E+15,Wed May 11 21:06:08 +0800 2022,6772385097,哈利卜特82280,上海,31.23592904,121.4805389,1,0,虽然我骂了上海zf一个多月，但这事怎么说呢。他们把人送出上海被其他地区网友骂，现在给想离开上海的人制造障碍也被骂，骂可以，但标准要统一
4.77E+15,Wed May 11 21:05:44 +0800 2022,2063287000,Lady芸仔,浙江,30.27154839,120.1595331,1,0,泪目
4.77E+15,Wed May 11 21:05:05 +0800 2022,5263383666,把我的狗子带过来,上海,31.23592904,121.4805389,1,0,//@蜡笔小妞Gretchen:上海这座城市死了
4.77E+15,Wed May 11 21:02:40 +0800 2022,3636754635,AngelWhile恋歌,上海,31.23592904,121.4805389,1,0,现在谈到上海，我只有一个感受失望透顶
4.77E+15,Wed May 11 20:35:53 +0800 2022,6888681005,说话会扎心的小樱桃,上海,31.23592904,121.4805389,1,1,很心寒，目前上海是有政府批准的私家车的，只是价格是平时的10倍，居委或者隔离酒店就不能派人送一下吗？规矩是死的，人是活的…
4.77E+15,Wed May 11 20:25:33 +0800 2022,7078309538,cute小僧寂,上海,31.23592904,121.4805389,1,0,@明行赋故国有明：上海的政府出来啊，出来说话啊
4.77E+15,Wed May 11 20:17:35 +0800 2022,1111128445,慢慢的炜炜又道来,上海,31.23592904,121.4805389,1,0,没办法，普通人都太多的无奈和没办法
4.77E+15,Wed May 11 19:53:38 +0800 2022,3674274483,开心的尼欧尼欧,上海,31.23592904,121.4805389,1,0,步行7小时。上海这座城是死灰建成的吗？@上海发布 @人民日报
4.77E+15,Wed May 11 19:51:02 +0800 2022,1894676203,罗的大白熊DTY,江苏,32.06677694,118.7695516,2,0,看了视频里最伤心的应该是这个丈夫说本来想早点回去全家留个合影现在连个合影也没有，这几年生重病的真的挺惨，很多连亲人最后一面都见不到，以前ICU这重病要走的时候会让家属一个个进来看一遍告别
4.77E+15,Wed May 11 18:52:36 +0800 2022,3335619662,倾成绝色,福建,39.22917591,117.1423023,1,0,60岁走7小时
4.77E+15,Wed May 11 18:49:22 +0800 2022,7065652232,哞哞咩咩捏捏,江苏,32.06677694,118.7695516,2,0,现在还滞留在上海的很多都是重病去治的
4.77E+15,Wed May 11 18:36:19 +0800 2022,5176498951,云涧清泉,江苏,32.06677694,118.7695516,1,0,该重新审视了，上海
4.77E+15,Wed May 11 17:24:16 +0800 2022,5846577208,几1吨芝麻酱,江苏,32.06677694,118.7695516,1,0,
4.77E+15,Wed May 11 22:28:06 +0800 2022,6428826379,TTmom5282,福建,39.22917591,117.1423023,0,0,好想哭
4.77E+15,Wed May 11 22:26:41 +0800 2022,6536503386,魔王喵是喵喵呀,上海,31.23592904,121.4805389,0,0,每天打开微博都要刷新一下对上海的失望
4.77E+15,Wed May 11 22:25:11 +0800 2022,2846223874,小妞小样小开心,江西,28.68169052,115.9154232,0,0,泪目。。。去过两次上海，都是陪父母医院看病。如今父已故，愿母长寿。在父病危的最后一个春节，照了唯一的一张全家福。如今照片唯独少了父亲。
4.77E+15,Wed May 11 22:20:04 +0800 2022,1609592684,吸奶茶狂魔,山西,37.87982942,112.5693755,0,0,唉
4.77E+15,Wed May 11 22:19:06 +0800 2022,2004428243,法克_嗷夫,安徽,31.73429416,117.3305404,0,0,上海这座美丽的城市把我能想到的人间之恶发挥到了极致，然后用一个现实的故事告诉我没想错～
4.77E+15,Wed May 11 22:18:22 +0800 2022,7650107835,麦宝四两拨千斤,河北,38.04320165,114.5365963,0,0,处在疫情的城市中 不想带给大家负能量#廊坊疫情#  我会微笑 我会努力 愿疫情早日散去 世界依旧温暖如初
4.77E+15,Wed May 11 22:17:21 +0800 2022,5967914831,X_小雨睡不醒,上海,31.23592904,121.4805389,0,0,好难过
4.77E+15,Wed May 11 22:14:34 +0800 2022,1764254324,一粒麦子20200920,上海,31.23592904,121.4805389,0,0,这种新闻看多了就想开骂...  老年人在大上海徒步七个钟头，你们好意思吗..
4.77E+15,Wed May 11 22:09:03 +0800 2022,1508693545,金狗嗨,上海,31.23592904,121.4805389,0,0,那些觉得跟自己没关，觉得在上海的人矫情的人，这里的今天就是你的明天。
4.77E+15,Wed May 11 22:07:57 +0800 2022,1364291364,宠着夜色流星V,上海,31.23592904,121.4805389,0,0,🙏
4.77E+15,Wed May 11 22:06:23 +0800 2022,2030605585,蘑菇兔兔酱,上海,31.23592904,121.4805389,0,0,@弄堂的小年轻x 太难过了！
4.77E+15,Wed May 11 22:02:09 +0800 2022,7263203097,草莓味猪崽崽,上海,31.23592904,121.4805389,0,0,上海什么时候换领导啊真的关麻了
4.77E+15,Wed May 11 21:59:52 +0800 2022,1747199691,化妆师贝贝-ME-2,上海,31.23592904,121.4805389,0,0,很难受上海到底怎么了！！
4.77E+15,Wed May 11 21:58:22 +0800 2022,5969927354,hhyycyr66,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 21:58:09 +0800 2022,2964508257,西村太太,上海,31.23592904,121.4805389,0,0,出租司机都把关在家里呢。公交地铁都停了，只有靠两条腿了。
4.77E+15,Wed May 11 21:57:57 +0800 2022,1766006870,芬达小黑妞,上海,31.23592904,121.4805389,0,0,痛心
4.77E+15,Wed May 11 21:55:40 +0800 2022,1452900711,surf1111,黑龙江,29.48708098,106.1364992,0,0,步行7小时，好像跟“顺利”不搭边吧
4.77E+15,Wed May 11 21:48:53 +0800 2022,5963482174,撩人彼岸花,其他,0,0,0,0,突然就泪目了。
4.77E+15,Wed May 11 21:46:42 +0800 2022,3779906824,阿Gwai,上海,31.23592904,121.4805389,0,0,唉
4.77E+15,Wed May 11 21:44:12 +0800 2022,7735639743,jshsvjs,广西,22.821269,108.3345212,0,0,真的会很绝望吧
4.77E+15,Wed May 11 21:41:27 +0800 2022,3894486494,C大鬼,上海,31.23592904,121.4805389,0,0,节哀
4.77E+15,Wed May 11 21:33:21 +0800 2022,5765372046,真实生活原型,山东,36.67485665,117.0274416,0,0,疫情 大都市 老人 夫妻 疾病 回家 饥饿 全家福  时代的一粒沙，个人的一座山
4.77E+15,Wed May 11 21:30:08 +0800 2022,6743891958,你说我听不说话,上海,31.23592904,121.4805389,0,0,疫情都两个月了，上海还是打不到车，别吹爱心出租车了
4.77E+15,Wed May 11 21:25:49 +0800 2022,7420592821,Scorpio强555,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 21:20:14 +0800 2022,1969228155,Fearsofflying,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 21:19:55 +0800 2022,7501333904,只能这样0619,上海,31.23592904,121.4805389,0,0,静默的时候没交通，静默之前有。
4.77E+15,Wed May 11 21:16:58 +0800 2022,5616006888,此号已注消啦,陕西,34.27580801,108.9603931,0,0,感觉有好多话说 又好像没那么多话去说
4.77E+15,Wed May 11 21:01:43 +0800 2022,1893264031,一条思考的人,广东,23.13794856,113.2724289,0,0,很光荣？
4.77E+15,Wed May 11 20:57:44 +0800 2022,1733483285,锦绣0009,安徽,31.73429416,117.3305404,1,0,边看边哭....
4.77E+15,Wed May 11 20:56:41 +0800 2022,1851120223,蜜豆闯江湖,上海,31.23592904,121.4805389,0,0,心酸
4.77E+15,Wed May 11 20:55:01 +0800 2022,2882023762,金罐加多宝i,北京,39.91092455,116.4133837,0,0,唉……
4.77E+15,Wed May 11 20:48:49 +0800 2022,1737655810,细细粒围脖ing,广东,23.13794856,113.2724289,0,0,哎呀好难过啊
4.77E+15,Wed May 11 20:48:42 +0800 2022,6068815692,小朋友的一些碎碎念,上海,31.23592904,121.4805389,0,0,@是瑶瑶A
4.77E+15,Wed May 11 20:45:02 +0800 2022,6524408508,cloudy1115,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 20:31:33 +0800 2022,3807991377,Herro-w,北京,39.91092455,116.4133837,0,0,于世再无所爱人，眼前繁华皆浮云…  爱情啊……
4.77E+15,Wed May 11 20:30:47 +0800 2022,2072658943,UGR-晴天,江苏,32.06677694,118.7695516,0,0,愿亲人健康
4.77E+15,Wed May 11 20:27:53 +0800 2022,2934403673,奶茶蛋炒饭,江苏,32.06677694,118.7695516,0,0,看着这种我真的太难受了
4.77E+15,Wed May 11 20:22:12 +0800 2022,1311546741,bslzd孩纸,上海,31.23592904,121.4805389,0,0,想安慰 但一切语言都不够温暖
4.77E+15,Wed May 11 20:19:07 +0800 2022,6037734972,李西西yiyi,上海,31.23592904,121.4805389,0,0,“无论如何，带你回家”
4.77E+15,Wed May 11 20:17:58 +0800 2022,2981397485,花-满-蹊,河北,38.04320165,114.5365963,0,0,
4.77E+15,Wed May 11 20:08:27 +0800 2022,1991192527,自由的海洋泡泡,上海,31.23592904,121.4805389,0,0,上海已经死了我亲爱德上海
4.77E+15,Wed May 11 20:06:25 +0800 2022,6476346472,哆哆2991,上海,31.23592904,121.4805389,0,0,上海自以为是，一塌糊涂的管理，根本不管老百姓的死活
4.77E+15,Wed May 11 20:04:28 +0800 2022,3616192047,XX猫喵猫XX,江苏,32.06677694,118.7695516,0,0,我奶去世时骨灰盒抱回来时我爷趴角落一直在哭
4.77E+15,Wed May 11 19:59:00 +0800 2022,6461702721,vvvvv454,上海,31.23592904,121.4805389,2,0,我简直哭死了 好难过好难过
4.77E+15,Wed May 11 19:58:57 +0800 2022,5655562180,爆米花21433,湖北,30.55160006,114.3484407,0,0,转发微博
4.77E+15,Wed May 11 19:55:17 +0800 2022,1662817351,送你一束石楠花,上海,31.23592904,121.4805389,3,0,网友一会说上海到处投毒，一会又说上海政府怎么不安排放人回去
4.77E+15,Wed May 11 19:53:38 +0800 2022,1746789302,胖鸽子索呐,北京,39.91092455,116.4133837,0,0,愿老人家安好
4.77E+15,Wed May 11 19:52:51 +0800 2022,7737835561,橙子味的阿慧儿,湖北,30.55160006,114.3484407,0,0,太感人了希望老人健康平安
4.77E+15,Wed May 11 19:51:46 +0800 2022,5337360806,毛毛猪猪嘛嘛,江苏,32.06677694,118.7695516,0,0,有的人婚内还出轨，人与人，比人与狗的差距还大
4.77E+15,Wed May 11 19:49:33 +0800 2022,1571700743,iiiiiiiciiiiiii,上海,31.23592904,121.4805389,0,0,骨灰真的很重。
4.77E+15,Wed May 11 19:44:28 +0800 2022,1830727640,倩影衬程心,浙江,30.27154839,120.1595331,0,0,天啊
4.77E+15,Wed May 11 19:35:02 +0800 2022,1731169510,CharlieHe,上海,31.23592904,121.4805389,0,0,上海需要和你道道歉
4.77E+15,Wed May 11 19:33:34 +0800 2022,1834867512,依然那xx,福建,39.22917591,117.1423023,0,0,确定时候是两个人，回去的时候就一个人了
4.77E+15,Wed May 11 19:31:55 +0800 2022,1427695040,清秀佳人PEI,上海,31.23592904,121.4805389,0,0,只有经历过，才深有感触，她终于回家了。
4.77E+15,Wed May 11 19:27:46 +0800 2022,2261926801,Oscar朱0127,上海,31.23592904,121.4805389,1,0,上海人都搞不清楚政府的做法，这次疫情真的太伤人心了！
4.77E+15,Wed May 11 19:15:00 +0800 2022,6124605096,若曦兮若汐,福建,39.22917591,117.1423023,0,0,都没有什么帮忙带一下吗？
4.77E+15,Wed May 11 19:00:34 +0800 2022,2010496323,自德zx,上海,31.23592904,121.4805389,2,1,作孽，作孽，抗疫原本福祉人们，现在……
4.77E+15,Wed May 11 18:59:24 +0800 2022,2205854744,知否知否应是知足常乐,江苏,32.06677694,118.7695516,0,0,到底是妻子还是妹妹
4.77E+15,Wed May 11 18:59:13 +0800 2022,6594312518,樱花雨91093,上海,31.23592904,121.4805389,0,0,是没有车，去产检家里没有车都要自己想办法
4.77E+15,Wed May 11 18:57:56 +0800 2022,6594312518,樱花雨91093,上海,31.23592904,121.4805389,0,0,看哭了
4.77E+15,Wed May 11 18:57:21 +0800 2022,2814296400,喝不惯白开,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 18:54:59 +0800 2022,3212847891,橘影龙心,上海,31.23592904,121.4805389,0,0,
4.77E+15,Wed May 11 18:51:22 +0800 2022,1912999954,雾寻往昔,江苏,32.06677694,118.7695516,0,0,奶奶是幸福的，希望爷爷好好的
4.77E+15,Wed May 11 18:44:32 +0800 2022,5312339461,Annie旅行民宿,江苏,32.06677694,118.7695516,0,0,老一辈的爱情
4.77E+15,Wed May 11 18:44:16 +0800 2022,5312339461,Annie旅行民宿,江苏,32.06677694,118.7695516,0,0,🙏
4.77E+15,Wed May 11 18:41:24 +0800 2022,5732787752,飞55387525,上海,31.23592904,121.4805389,0,0,心里说的话都能听到了，小便真牛哇
4.77E+15,Wed May 11 18:30:12 +0800 2022,1047346734,晓Xiao晓晓Yu,上海,31.23592904,121.4805389,0,0,真的泪目
4.77E+15,Wed May 11 18:26:06 +0800 2022,7391983179,頔頔徐,上海,31.23592904,121.4805389,0,0,太残忍
4.77E+15,Wed May 11 18:20:45 +0800 2022,7458150927,空云中,浙江,30.27154839,120.1595331,0,0,愿世间充满爱
4.77E+15,Wed May 11 18:02:22 +0800 2022,5882035594,我会跟着光fighting,江苏,32.06677694,118.7695516,0,0,至亲去世，心里总有一块空缺，随着时间的推移，那一块始终难以堆填。某个瞬间，阳光透进房间里，外面人车声，在某个特定的节日，想要分享的时候，却发现那个人不在，再也叫不出那个称呼那个名字
4.77E+15,Wed May 11 18:02:03 +0800 2022,1688837850,猫眼睛小姐,江苏,32.06677694,118.7695516,0,0,太感人了
4.77E+15,Wed May 11 18:00:16 +0800 2022,3264408330,仓鼠只想躺着,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 17:58:46 +0800 2022,7661058723,不是真的阆苑仙葩,江苏,32.06677694,118.7695516,0,0,希望老人健康顺遂
4.77E+15,Wed May 11 17:58:26 +0800 2022,1055303862,心蕡靑,江苏,32.06677694,118.7695516,0,0,
4.77E+15,Wed May 11 17:50:07 +0800 2022,1919338275,水光月岸,江苏,32.06677694,118.7695516,0,0,感人
4.77E+15,Wed May 11 17:45:56 +0800 2022,6412907797,水桶Jerry,江苏,32.06677694,118.7695516,1,0,这才叫真爱啊
4.77E+15,Wed May 11 17:44:00 +0800 2022,1177557031,极不淡定的小胖,江苏,32.06677694,118.7695516,0,0,@开天窗1990
4.77E+15,Wed May 11 17:40:48 +0800 2022,6970910943,GAO-HONGEN,江苏,32.06677694,118.7695516,0,0,老一辈的爱情💑 泪目了
4.77E+15,Wed May 11 17:39:19 +0800 2022,6023910452,丑丑阿嗲,江苏,32.06677694,118.7695516,1,0,特殊情况也可以打110寻求帮助
4.77E+15,Wed May 11 17:37:35 +0800 2022,2744152184,清水湖畔小绵羊,江苏,32.06677694,118.7695516,0,0,哥哥我好想你
4.77E+15,Wed May 11 17:36:14 +0800 2022,1822728117,蟹蟹247,江苏,32.06677694,118.7695516,0,0,愿逝者安息节哀🙏
